| table_schema | table_name           |
| ------------ | -------------------- |
| public       | anonymous_identities |
| public       | audit_logs           |
| public       | chat_conversations   |
| public       | chat_messages        |
| public       | chat_requests        |
| public       | chat_session_keys    |
| public       | group_bans           |
| public       | group_invites        |
| public       | group_members        |
| public       | groups               |
| public       | media_uploads        |
| public       | message_status       |
| public       | polls                |
| public       | reports              |
| public       | system_notifications |
| public       | user_blocks          |
| public       | user_encryption_keys |
| public       | user_password_resets |
| public       | user_sessions        |
| public       | user_settings        |
| public       | user_verifications   |
| public       | users                |
| public       | votes                |


| table_schema | table_name               | ordinal_position | column_name                   | data_type                | udt_name    | is_nullable | column_default                  | character_maximum_length | numeric_precision | numeric_scale |
| public       | media_uploads            | 15               | thumbnail_url                 | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | media_uploads            | 16               | expires_at                    | timestamp with time zone | timestamptz | YES         | null                            | null                     | null              | null          |
| public       | media_uploads            | 17               | upload_status                 | character varying        | varchar     | YES         | 'uploading'::character varying  | 20                       | null              | null          |
| public       | media_uploads            | 18               | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | media_uploads            | 19               | updated_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | message_status           | 1                | status_id                     | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | message_status           | 2                | message_id                    | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | message_status           | 3                | user_id                       | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | message_status           | 4                | status                        | character varying        | varchar     | YES         | 'sent'::character varying       | 20                       | null              | null          |
| public       | message_status           | 5                | read_at                       | timestamp with time zone | timestamptz | YES         | null                            | null                     | null              | null          |
| public       | message_status           | 6                | delivered_at                  | timestamp with time zone | timestamptz | YES         | null                            | null                     | null              | null          |
| public       | message_status           | 7                | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | polls                    | 1                | poll_id                       | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | polls                    | 2                | group_id                      | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | polls                    | 3                | created_by                    | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | polls                    | 4                | target_user_id                | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | polls                    | 5                | poll_type                     | character varying        | varchar     | NO          | null                            | 20                       | null              | null          |
| public       | polls                    | 6                | title                         | character varying        | varchar     | NO          | null                            | 200                      | null              | null          |
| public       | polls                    | 7                | description                   | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | polls                    | 8                | votes_required                | integer                  | int4        | YES         | null                            | null                     | 32                | 0             |
| public       | polls                    | 9                | votes_for                     | integer                  | int4        | YES         | 0                               | null                     | 32                | 0             |
| public       | polls                    | 10               | votes_against                 | integer                  | int4        | YES         | 0                               | null                     | 32                | 0             |
| public       | polls                    | 11               | total_voters                  | integer                  | int4        | YES         | 0                               | null                     | 32                | 0             |
| public       | polls                    | 12               | status                        | character varying        | varchar     | YES         | 'active'::character varying     | 20                       | null              | null          |
| public       | polls                    | 13               | is_executed                   | boolean                  | bool        | YES         | false                           | null                     | null              | null          |
| public       | polls                    | 14               | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | polls                    | 15               | updated_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | polls                    | 16               | expires_at                    | timestamp with time zone | timestamptz | NO          | null                            | null                     | null              | null          |
| public       | polls                    | 17               | executed_at                   | timestamp with time zone | timestamptz | YES         | null                            | null                     | null              | null          |
| public       | polls                    | 18               | parent_poll_id                | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | polls                    | 19               | objection_reason              | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | reports                  | 1                | report_id                     | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | reports                  | 2                | reporter_user_id              | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | reports                  | 3                | reported_user_id              | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | reports                  | 4                | reported_group_id             | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | reports                  | 5                | reported_message_id           | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | reports                  | 6                | report_type                   | character varying        | varchar     | NO          | null                            | 50                       | null              | null          |
| public       | reports                  | 7                | description                   | text                     | text        | NO          | null                            | null                     | null              | null          |
| public       | reports                  | 8                | evidence_urls                 | ARRAY                    | _text       | YES         | '{}'::text[]                    | null                     | null              | null          |
| public       | reports                  | 9                | status                        | character varying        | varchar     | YES         | 'pending'::character varying    | 20                       | null              | null          |
| public       | reports                  | 10               | resolved_by                   | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | reports                  | 11               | resolution_notes              | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | reports                  | 12               | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | reports                  | 13               | resolved_at                   | timestamp with time zone | timestamptz | YES         | null                            | null                     | null              | null          |
| public       | system_notifications     | 1                | notification_id               | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | system_notifications     | 2                | user_id                       | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | system_notifications     | 3                | notification_type             | character varying        | varchar     | NO          | null                            | 50                       | null              | null          |
| public       | system_notifications     | 4                | title                         | character varying        | varchar     | NO          | null                            | 200                      | null              | null          |
| public       | system_notifications     | 5                | body                          | text                     | text        | NO          | null                            | null                     | null              | null          |
| public       | system_notifications     | 6                | data                          | jsonb                    | jsonb       | YES         | null                            | null                     | null              | null          |
| public       | system_notifications     | 7                | is_read                       | boolean                  | bool        | YES         | false                           | null                     | null              | null          |
| public       | system_notifications     | 8                | read_at                       | timestamp with time zone | timestamptz | YES         | null                            | null                     | null              | null          |
| public       | system_notifications     | 9                | expires_at                    | timestamp with time zone | timestamptz | YES         | (now() + '30 days'::interval)   | null                     | null              | null          |
| public       | system_notifications     | 10               | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | user_blocks              | 1                | block_id                      | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | user_blocks              | 2                | blocker_id                    | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | user_blocks              | 3                | blocked_id                    | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | user_blocks              | 4                | block_type                    | character varying        | varchar     | YES         | 'permanent'::character varying  | 20                       | null              | null          |
| public       | user_blocks              | 5                | expires_at                    | timestamp with time zone | timestamptz | YES         | null                            | null                     | null              | null          |
| public       | user_blocks              | 6                | reason                        | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | user_blocks              | 7                | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | user_encryption_keys     | 1                | user_encrypt_id               | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | user_encryption_keys     | 2                | user_id                       | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | user_encryption_keys     | 3                | public_key                    | text                     | text        | NO          | null                            | null                     | null              | null          |
| public       | user_encryption_keys     | 4                | key_version                   | integer                  | int4        | YES         | 1                               | null                     | 32                | 0             |
